game_id,inning,batting_team,batter,pitch_sequence,event_text,ejection_flag,ejectee,job_code,ump_id,reason
ARI200106030,6,1,gonzl001,SCBBBH,HP,ej,flant001,C,craft901,Arguing after HBP
ARI200106300,6,1,bautd001,FX,6/P6,ej,bellb001,M,hudsm901,Call at 1B
ARI200107080,6,1,delld001,BFFBBFS,K,ej,brenb001,M,coope901,Balls and strikes
ARI200108140,2,0,mearp001,CX,8(B)2(3)/FDP,ej,difem001,P,scotd901,Fighting with Kevin Young
ARI200108140,2,0,mearp001,CX,8(B)2(3)/FDP,ej,younk001,P,scotd901,Fighting with Mike DiFelice
ARI200108140,2,1,andeb002,CBCS,K,ej,sandt101,C,younl901,Balk non-call
ARI200108280,6,1,johnr005,SFBBBB,W,ej,hernl003,P,diazl901,Balls and strikes
ARI200109260,5,0,sexsr001,SBBFC,K/C,ej,sexsr001,P,gibsg901,Balls and strikes
ARI200110030,6,0,nortg001,BCFBX,36(1)/FO,ej,bellb001,M,wendh902,Pitcher/catcher conferences
ATL200108080,11,1,lopej001,BBBCSX,63/G,ej,lopej001,P,everm901,Call at 1B
ATL200108260,6,0,karre001,CCFBBX,D/89,ej,cox-b103,M,fostm901,Balls and strikes
ATL200108260,6,0,karre001,CCFBBX,D/89,ej,jonec004,P,fostm901,Balls and strikes
ATL200108300,4,0,stevl001,BFFBX,D9/89D.1XH(962),ej,blumg001,P,timmt901,Call at HP
ATL200109290,6,0,ordor001,BCBB,CS3(25).1-2,ej,valeb102,M,eddid901,Call at 3B
BAL200104150,7,1,kinkm001,BX,54(1)3/GDP,ej,hargm001,M,reynj901,Balls and strikes
BAL200104190,1,1,segud001,BCBCFC,K+CS2(24)/DP/C,ej,segud001,P,kulpr901,Called third strike (threw helmet)
BAL200105030,6,0,olivj001,BFCX,7/SF.3-H,ej,hargm001,M,relic901,Call at 3B
BAL200105240,1,0,joynw001,BBBCCC,K/C,ej,hatcm001,C,welkb901,Balls and strikes
BAL200105240,3,0,glaut001,BBBCX,HR/7.1-H,ej,joynw001,P,welkb901,Balls and strikes
BAL200105240,8,1,andeb001,BCFBBC,K/C,ej,andeb001,P,welkb901,Called third strike (Broke bat)
BAL200107070,4,1,hairj002,BCBCS,K,ej,hairj002,P,riekr901,Balls and strikes
BAL200108300,4,1,richc001,BBX,7(B)43(1)/FDP,ej,hargm001,M,welkb901,Balls and strikes
BAL200108300,6,1,hairj002,BFBCFX,9/F9,ej,moram002,P,welkb901,Balls and strikes
BOS200105100,5,0,guilc001,FBFX,S/89.1-H;B-2(THH),ej,varij001,P,wegnm901,Call at HP (bumped umpire)
BOS200105100,5,0,guilc001,FBFX,S/89.1-H;B-2(THH),ej,willj107,M,wegnm901,Call at HP
BOS200105250,6,0,stews002,FBSBC,K/C,ej,stews002,P,timmt901,Balls and strikes
BOS200106240,8,0,stews002,CFFFBFFBFFBS,K,ej,stews002,P,guccc901,Checked swing
